Id,Name,Link,ConformanceUnits
1001,Machines,"https://reference.opcfoundation.org/Machinery/v104/docs/9.2","Machinery Find Machines;"
1002,MachineryItemState_StateMachineType,"https://reference.opcfoundation.org/Machinery/v104/docs/12.2","Machinery MachineryItem State;"
1003,IMachineryItemVendorNameplateType,"https://reference.opcfoundation.org/Machinery/v104/docs/8.2","Machinery Machine Identification;Machinery Component Identification;"
1004,MachineryItemIdentificationType,"https://reference.opcfoundation.org/Machinery/v104/docs/8.3","Machinery Machine Identification;Machinery Component Identification;"
1005,MachineryComponentIdentificationType,"https://reference.opcfoundation.org/Machinery/v104/docs/10.2","Machinery Component Identification;"
1006,MachineComponentsType,"https://reference.opcfoundation.org/Machinery/v104/docs/11.2","Machinery Find Components of Machines;"
1007,IMachineryEquipmentType,"https://reference.opcfoundation.org/Machinery/v104/docs/17.3","Machinery MachineryEquipment;"
1008,MachineryOperationModeStateMachineType,"https://reference.opcfoundation.org/Machinery/v104/docs/13.2","Machinery Operation Mode;"
1009,MachineryOperationCounterType,"https://reference.opcfoundation.org/Machinery/v104/docs/14.2","Machinery Operation Counter;"
1010,IMachineVendorNameplateType,"https://reference.opcfoundation.org/Machinery/v104/docs/8.4","Machinery Machine Identification;"
1011,IMachineTagNameplateType,"https://reference.opcfoundation.org/Machinery/v104/docs/8.5","Machinery Machine Identification;"
1012,MachineIdentificationType,"https://reference.opcfoundation.org/Machinery/v104/docs/8.6","Machinery Machine Identification;"
1013,MachineryEquipmentFolderType,"https://reference.opcfoundation.org/Machinery/v104/docs/17.2","Machinery MachineryEquipment;"
1014,MonitoringType,"https://reference.opcfoundation.org/Machinery/v104/docs/16.2","Machinery Monitoring;"
1015,MachineryLifetimeCounterType,"https://reference.opcfoundation.org/Machinery/v104/docs/15.2","Machinery Lifetime Counter;"
1017,NotificationsType,"https://reference.opcfoundation.org/Machinery/v104/docs/18.2","Machinery Notifications;"
5001,http://opcfoundation.org/UA/Machinery/,"https://reference.opcfoundation.org/Machinery/v104/docs/20.1",""
