Id,Name,Link,ConformanceUnits
1002,LaserSystemMonitoringType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.1","LaserSystems LaserSystemMonitoringType Basic;"
1003,LaserSystemProductionType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.4.1","LaserSystems LaserSystemProductionType Basic;"
1004,ConsumptionDataMonitoringType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.7","LaserSystems ConsumptionDataMonitoringType Basic;"
1005,LaserSystemType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.1","LaserSystems LaserSystemType Basic;"
1006,ConditionDataMonitoringType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.6","LaserSystems ConditionDataMonitoringType Basic;"
1007,RecipeSettingsAndOverviewType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.4.2","LaserSystems RecipeSettingsAndOverviewType Basic;"
1008,ActivityDataMonitoringType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.5","LaserSystems ActivityDataMonitoringType Basic;"
1009,LaserSystemState_StateMachineType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.4","LaserSystems LaserSystemState_StateMachineType Basic;"
1010,LaserSystemOperationCounterType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.3","LaserSystems LaserSystemOperationCounterType Basic;3:Machinery Operation Counter;"
1012,LaserSystemStatusType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.2.2","LaserSystems LaserSystemStatusType Basic;"
1013,LaserSystemMaintenancePrognosisType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.3.1","LaserSystems LaserSystemMaintenancePrognosisType Basic;"
1014,LaserSystemUtilityChangePrognosisType,"https://reference.opcfoundation.org/LaserSystems/v100/docs/7.3.2","LaserSystems LaserSystemUtilityChangePrognosisType Basic;"
5105,http://opcfoundation.org/UA/LaserSystems/,"https://reference.opcfoundation.org/LaserSystems/v100/docs/9.1",""
