MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1631;AcReactivePowerExportCompleted;Reactive Power total export - demand of last completed period (fixed interval starting with the full hour);var;user-defined, FixedBlockCompleted;Float;NO
1632;AcReactivePowerSumMaximumCompleted;Reactive Power total (import - export) maximum - demand of last completed period (fixed interval starting with the full hour);var;user-defined, FixedBlockCompleted;Float;NO
1633;AcReactivePowerSumMinimumCompleted;Reactive Power total (import - export) minimum - demand of last completed period (fixed interval starting with the full hour);var;user-defined, FixedBlockCompleted;Float;NO
1634;AcReactivePowerImportInstantaneous;Reactive Power total import in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockInstantaneous;Float;NO
1635;AcReactivePowerExportInstantaneous;Reactive Power total export in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockInstantaneous;Float;NO
1636;AcReactivePowerSumMaximumInstantaneous;Reactive Power total (import - export) maximum in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockInstantaneous;Float;NO
1637;AcReactivePowerSumMinimumInstantaneous;Reactive Power total (import - export) minimum in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockInstantaneous;Float;NO
1638;AcReactivePowerImportPredicted;Reactive Power total import predicted in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockPredicted;Float;NO
1639;AcReactivePowerExportPredicted;Reactive Power total export predicted in the instantaneous period (fixed interval starting with the full hour);var;user-defined, FixedBlockPredicted;Float;NO
1700;AcPowerFactorL1;Power factor L1 ;-;-;Float;NO
1701;AcPowerFactorL1Max;Power factor L1 maximum. Based on AcPowerFactorL1. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1702;AcPowerFactorL1Min;Power factor L1 minimum. Based on AcPowerFactorL1. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1703;AcPowerFactorL2;Power factor L2;-;-;Float;NO
1704;AcPowerFactorL2Max;Power factor L2 maximum. Based on AcPowerFactorL2. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1705;AcPowerFactorL2Min;Power factor L2 minimum. Based on AcPowerFactorL2. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1706;AcPowerFactorL3;Power factor L3;-;-;Float;NO
1707;AcPowerFactorL3Max;Power factor L3 maximum. Based on AcPowerFactorL3. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1708;AcPowerFactorL3Min;Power factor L3 minimum. Based on AcPowerFactorL3. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1709;AcPowerFactorPe;Power factor;-;-;AcPeDataType;NO
1710;AcPowerFactorPeMax;Power factor maximum (the maximum of each phase is tracked individually). Based on AcPowerFactorPe. May be reset by ResetStatistics or other mechanisms.;-;-;AcPeDataType;YES
1711;AcPowerFactorPeMin;Power factor minimum (the minimum of each phase is tracked individually). Based on AcPowerFactorPe. May be reset by ResetStatistics or other mechanisms.;-;-;AcPeDataType;YES
1712;AcPowerFactorTotal;Power factor total;-;-;Float;NO
1713;AcPowerFactorTotalMax;Power factor total maximum. Based on AcPowerFactorTotal. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1714;AcPowerFactorTotalMin;Power factor total minimum. Based on AcPowerFactorTotal. May be reset by ResetStatistics or other mechanisms.;-;-;Float;YES
1715;AcTHDVoltageL1;Total Harmonic Distortion of Voltage L1;%;-;Float;NO
1716;AcTHDVoltageL2;Total Harmonic Distortion of Voltage L2;%;-;Float;NO
1717;AcTHDVoltageL3;Total Harmonic Distortion of Voltage L3;%;-;Float;NO
1718;AcTHDVoltageL1L2;Total Harmonic Distortion of Voltage L1-L2;%;-;Float;NO
1719;AcTHDVoltageL2L3;Total Harmonic Distortion of Voltage L2-L3;%;-;Float;NO
1720;AcTHDVoltageL3L1;Total Harmonic Distortion of Voltage L3-L1;%;-;Float;NO
1721;AcTHDCurrentL1;Total Harmonic Distortion of Current L1;%;-;Float;NO
1722;AcTHDCurrentL2;Total Harmonic Distortion of Current L2;%;-;Float;NO
1723;AcTHDCurrentL3;Total Harmonic Distortion of Current L3;%;-;Float;NO
1724;AcTHDVoltageL1Min600s;Total Harmonic Distortion of Voltage L1 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1725;AcTHDVoltageL2Min600s;Total Harmonic Distortion of Voltage L2 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1726;AcTHDVoltageL3Min600s;Total Harmonic Distortion of Voltage L3 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1727;AcTHDVoltageL1L2Min600s;Total Harmonic Distortion of Voltage L1-L2 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1728;AcTHDVoltageL2L3Min600s;Total Harmonic Distortion of Voltage L2-L3 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1729;AcTHDVoltageL3L1Min600s;Total Harmonic Distortion of Voltage L3-L1 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1730;AcTHDVoltageL1Max600s;Total Harmonic Distortion of Voltage L1 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1731;AcTHDVoltageL2Max600s;Total Harmonic Distortion of Voltage L2 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1732;AcTHDVoltageL3Max600s;Total Harmonic Distortion of Voltage L3 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1733;AcTHDVoltageL1L2Max600s;Total Harmonic Distortion of Voltage L1-L2 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1734;AcTHDVoltageL2L3Max600s;Total Harmonic Distortion of Voltage L2-L3 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1735;AcTHDVoltageL3L1Max600s;Total Harmonic Distortion of Voltage L3-L1 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1736;AcTHDCurrentL1Min600s;Total Harmonic Distortion of Current L1 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1738;AcTHDCurrentL2Min600s;Total Harmonic Distortion of Current L2 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1739;AcTHDCurrentL3Min600s;Total Harmonic Distortion of Current L3 minimum 600 seconds;%;600 s, SlidingDemand;Float;NO
1740;AcTHDCurrentL1Max600s;Total Harmonic Distortion of Current L1 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1741;AcTHDCurrentL2Max600s;Total Harmonic Distortion of Current L2 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
1742;AcTHDCurrentL3Max600s;Total Harmonic Distortion of Current L3 maximum 600 seconds;%;600 s, SlidingDemand;Float;NO
2000;NeEnergyImport5;Non Electrical Energy Consumed Odometer;Wh;-;Int16[5];YES
2001;NeEnergyImportLp;Non Electrical Energy Consumed Odometer (low precision);Wh;-;Float;YES
2002;NeEnergyImportHp;Non Electrical Energy Consumed Odometer (high precision);Wh;-;Double;YES
2003;NeEnergyExport5;Non Electrical Energy Generated Odometer;Wh;-;Int16[5];YES
2004;NeEnergyExportLp;Non Electrical Energy Generated Odometer (low precision);Wh;-;Float;YES
2005;NeEnergyExportHp;Non Electrical Energy Generated Odometer (high precision);Wh;-;Double;YES
2006;NeEnergySum5;Non Electrical Energy Odometer Sum;Wh;-;Int16[5];YES
2007;NeEnergySumLp;Non Electrical Energy Odometer Sum (low precision);Wh;-;Float;YES
2008;NeEnergySumHp;Non Electrical Energy Odometer Sum (high precision);Wh;-;Double;YES
2100;VolumeFlowRate;Volume Flow rate;m3/sec;-;Float;NO
2101;MassFlowRate;Mass flow rate;kg/sec;-;Float;NO
28683;Pressure;Pressure;Pa;-;Float;NO
28684;Temperature;Temperature;K;-;Float;NO
28685;Mass;Mass;kg;-;Float;YES
28686;Volume;Volume;m3;-;Float;YES
28687;Density;Density;kg/m3;-;Float;NO
28688;HeatFlow;Heat Flow;W/m2;-;Float;NO
28689;HeatCapacity;Heat capacity of medium;Wh/Kkg;-;Float;NO
