MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1134;AcVoltageL2L3Max;Voltage L2-L3 maximum. Based on AcVoltageL2L3. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1135;AcVoltageL2L3Min;Voltage L2-L3 minimum. Based on AcVoltageL2L3. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1136;AcVoltageL2L33s;Voltage L2-L3 (3 seconds);V;3 s, SlidingDemand;Float;NO
1137;AcVoltageL2L33sMax;Voltage L2-L3 maximum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1138;AcVoltageL2L33sMin;Voltage L2-L3 minimum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1139;AcVoltageL3L1;Voltage L3-L1;V;-;Float;NO
1140;AcVoltageL3L1Max;Voltage L3-L1 maximum. Based on AcVoltageL3L1. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1141;AcVoltageL3L1Min;Voltage L3-L1 minimum. Based on AcVoltageL3L1. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1142;AcVoltageL3L13s;Voltage L3-L1 (3 seconds);V;3 s, SlidingDemand;Float;NO
1143;AcVoltageL3L13sMax;Voltage L3-L1 maximum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1144;AcVoltageL3L13sMin;Voltage L3-L1 minimum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1145;AcVoltagePp;Voltage L1L2, L2L3, L3L1 ;V;-;AcPpDataType;NO
1146;AcVoltagePpMax;Voltage L1L2, L2L3, L3L1 maximum (the maximum of each phase is tracked individually). Based on AcVoltagePp. May be reset by ResetStatistics or other mechanisms.;V;-;AcPpDataType;YES
1147;AcVoltagePpMin;Voltage L1L2, L2L3, L3L1 minimum (the minimum of each phase is tracked individually). Based on AcVoltagePp. May be reset by ResetStatistics or other mechanisms.;V;-;AcPpDataType;YES
1148;AcVoltagePpAverage;Voltage average phase - phase;V;-;Float;NO
1149;AcVoltagePpAverageMax;Voltage average phase - phase maximum. Based on AcVoltagePpAverage. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1150;AcVoltagePpAverageMin;Voltage average phase - phase minimum. Based on AcVoltagePpAverage. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1151;AcVoltagePpAverage3s;Voltage average phase - phase (3 seconds);V;3 s, SlidingDemand;Float;NO
1152;AcVoltagePpAverage3sMin;Voltage average phase - phase minimum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1153;AcVoltagePpAverage3sMax;Voltage average phase - phase maximum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1154;AcVoltagePhaseDeviation;Voltage phase deviation. For the calculation, first determine which voltage phase has the largest deviation from the average voltage, then divide that difference (absolute value) by the average voltage and then multiply by 100.;%;-;Float;NO
1155;AcVoltagePhaseDeviationMax;Voltage phase deviation maximum over time. Based on AcVoltagePhaseDeviation. May be reset by ResetStatistics or other mechanisms.;%;-;Float;YES
1156;AcVoltagePhaseDeviationMin;Voltage phase deviation minimum over time. Based on AcVoltagePhaseDeviation. May be reset by ResetStatistics or other mechanisms.;%;-;Float;YES
1200;AcCurrentL1;Current L1;A;-;Float;NO
1201;AcCurrentL1Max;Current L1 maximum. Based on AcCurrentL1. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1202;AcCurrentL1Min;Current L1 minimum. Based on AcCurrentL1. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1203;AcCurrentL1600s;Current L1 (600 seconds);A;600 s, SlidingDemand;Float;NO
1204;AcCurrentL1Max600s;Current L1 maximum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1205;AcCurrentL1Min600s;Current L1 minimum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1206;AcCurrentL2;Current L2;A;-;Float;NO
1207;AcCurrentL2Max;Current L2 maximum. Based on AcCurrentL2. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1208;AcCurrentL2Min;Current L2 minimum. Based on AcCurrentL2. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1209;AcCurrentL2600s;Current L2 (600 seconds);A;600 s, SlidingDemand;Float;NO
1210;AcCurrentL2Max600s;Current L2 maximum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1211;AcCurrentL2Min600s;Current L2 minimum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1212;AcCurrentL3;Current L3;A;-;Float;NO
1213;AcCurrentL3Max;Current L3 maximum. Based on AcCurrentL3. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1214;AcCurrentL3Min;Current L3 minimum. Based on AcCurrentL3. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1215;AcCurrentL3600s;Current L3 (600 seconds);A;600 s, SlidingDemand;Float;NO
1216;AcCurrentL3Max600s;Current L3 maximum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1217;AcCurrentL3Min600s;Current L3 minimum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1218;AcCurrentPe;Current;A;-;AcPeDataType;NO
1219;AcCurrentPeMax;Current maximum (the maximum of each phase is tracked individually). Based on AcCurrentPe. May be reset by ResetStatistics or other mechanisms.;A;-;AcPeDataType;YES
1220;AcCurrentPeMin;Current minimum (the minimum of each phase is tracked individually). Based on AcCurrentPe. May be reset by ResetStatistics or other mechanisms.;A;-;AcPeDataType;YES
1221;AcCurrentPe600s;Current (600 seconds);A;600 s, SlidingDemand;AcPeDataType;NO
1222;AcCurrentPe600sMax;Current maximum of the last 600 seconds.;A;600 s, SlidingDemand;AcPeDataType;NO
1223;AcCurrentPe600sMin;Current minimum of the last 600 seconds.;A;600 s, SlidingDemand;AcPeDataType;NO
1224;AcCurrentAverage;Current average L1 L2 L3;A;-;Float;NO
1225;AcCurrentAverageMax;Current average L1 L2 L3 maximum. Based on AcCurrentAverage. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1226;AcCurrentAverageMin;Current average L1 L2 L3 minimum. Based on AcCurrentAverage. May be reset by ResetStatistics or other mechanisms.;A;-;Float;YES
1227;AcCurrentAverage600s;Current average L1 L2 L3 (600 seconds);A;600 s, SlidingDemand;Float;NO
1228;AcCurrentAverage600sMax;Current average L1 L2 L3 maximum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1229;AcCurrentAverage600sMin;Current average L1 L2 L3 minimum of the last 600 seconds.;A;600 s, SlidingDemand;Float;NO
1230;AcCurrentGround;Current ground;A;-;Float;NO
1231;AcCurrentGroundMax;Current ground maximum. Based on AcCurrentGround.;A;-;Float;YES
1232;AcCurrentGroundMin;Current ground minimum. Based on AcCurrentGround.;A;-;Float;YES
1233;AcCurrentN;Current N;A;-;Float;NO
1234;AcCurrentNMax;Current N maximum. Based in on AcCurrentN.;A;-;Float;YES
1235;AcCurrentNMin;Current N minimum. Based on AcCurrentN.;A;-;Float;YES
1236;AcCurrentPhaseDeviation;Current phase deviation. For the calculation, first determine which current phase has the largest deviation from the average current, then divide that difference (absolute value) by the average current and then multiply by 100.;%;-;Float;NO
1237;AcCurrentPhaseDeviationMax;Current phase deviation maximum. Based on AcCurrentPhaseDeviation. May be reset by ResetStatistics or other mechanisms.;%;-;Float;YES
1238;AcCurrentPhaseDeviationMin;Current phase deviation minimum. Based on AcCurrentPhaseDeviation. May be reset by ResetStatistics or other mechanisms.;%;-;Float;YES
1300;AcFrequency;Frequency;Hz;-;Float;NO
1301;AcFrequencyMax;Frequency maximum. Based on AcFrequency. May be reset by ResetStatistics or other mechanisms.;Hz;-;Float;YES
1302;AcFrequencyMin;Frequency minimum.Based on AcFrequency. May be reset by ResetStatistics or other mechanisms.;Hz;-;Float;YES
1400;AcActivePowerL1;Active Power L1 ;W;-;Float;NO
1401;AcActivePowerL1Max;Active Power L1 maximum. Based on AcActivePowerL1. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1402;AcActivePowerL1Min;Active Power L1 minimum. Based on AcActivePowerL1. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1403;AcActivePowerL2;Active Power L2;W;-;Float;NO
1404;AcActivePowerL2Max;Active Power L2 maximum. Based on AcActivePowerL2. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
