AuditUpdateEventType,2099,ObjectType,,"{'Anonymous':'(33) Browse|Read','SecurityAdmin':'(131071) All'}"
AuditUpdateMethodEventType,2127,ObjectType,,"{'Anonymous':'(33) Browse|Read','SecurityAdmin':'(131071) All'}"
AuditUpdateStateEventType,2315,ObjectType,,"{'Anonymous':'(33) Browse|Read','SecurityAdmin':'(131071) All'}"
AuditUrlMismatchEventType,2748,ObjectType,,"{'Anonymous':'(33) Browse|Read','SecurityAdmin':'(131071) All'}"
AuditWriteUpdateEventType,2100,ObjectType,,"{'Anonymous':'(33) Browse|Read','SecurityAdmin':'(131071) All'}"
KeyCredentialConfiguration_CreateCredential,17528,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
KeyCredentialConfiguration_CreateCredential_InputArguments,17529,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
KeyCredentialConfiguration_CreateCredential_OutputArguments,17530,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
PublishSubscribe,14443,Object,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(65423) All'}"
PublishSubscribe_AddConnection,17366,Method,,"{'ConfigureAdmin':'(61455) All'}"
PublishSubscribe_AddConnection_InputArguments,17367,Variable,,"{'ConfigureAdmin':'(59391) All'}"
PublishSubscribe_AddConnection_OutputArguments,17368,Variable,,"{'ConfigureAdmin':'(59391) All'}"
PublishSubscribe_Diagnostics,17409,Object,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(65423) All'}"
PublishSubscribe_Diagnostics_Reset,17421,Method,,"{'ConfigureAdmin':'(61455) All'}"
PublishSubscribe_GetSecurityGroup,15440,Method,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(4097) Browse|Call','SecurityKeyServerAdmin':'(61455) All'}"
PublishSubscribe_GetSecurityGroup_InputArguments,15441,Variable,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(33) Browse|Read','SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_GetSecurityGroup_OutputArguments,15442,Variable,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(33) Browse|Read','SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_GetSecurityKeys,15215,Method,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(4097) Browse|Call','SecurityKeyServerAdmin':'(61455) All'}"
PublishSubscribe_GetSecurityKeys_InputArguments,15216,Variable,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(33) Browse|Read','SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_GetSecurityKeys_OutputArguments,15217,Variable,"[SigningRequired,EncryptionRequired]","{'Anonymous':'(33) Browse|Read','SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_KeyPushTargets,25440,Object,"[SigningRequired]","{'SecurityKeyServerAdmin':'(65423) All'}"
PublishSubscribe_KeyPushTargets_AddPushTarget,25441,Method,"[SigningRequired]","{'SecurityKeyServerAdmin':'(61455) All'}"
PublishSubscribe_KeyPushTargets_AddPushTarget_InputArguments,25442,Variable,"[SigningRequired]","{'SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_KeyPushTargets_AddPushTarget_OutputArguments,25443,Variable,"[SigningRequired]","{'SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_KeyPushTargets_RemovePushTarget,25444,Method,"[SigningRequired]","{'SecurityKeyServerAdmin':'(61455) All'}"
PublishSubscribe_KeyPushTargets_RemovePushTarget_InputArguments,25445,Variable,"[SigningRequired]","{'SecurityKeyServerAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration,25451,Object,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(65423) All'}"
PublishSubscribe_PubSubConfiguration_Close,25462,Method,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_Close_InputArguments,25463,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_CloseAndUpdate,25477,Method,,"{'ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_CloseAndUpdate_InputArguments,25478,Variable,,"{'ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_CloseAndUpdate_OutputArguments,25479,Variable,,"{'ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_GetPosition,25469,Method,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_GetPosition_InputArguments,25470,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_GetPosition_OutputArguments,25471,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_Open,25459,Method,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_Open_InputArguments,25460,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_Open_OutputArguments,25461,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_OpenCount,25455,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_Read,25464,Method,,"{'Anonymous':'(4097) Browse|Call','ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_Read_InputArguments,25465,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_Read_OutputArguments,25466,Variable,,"{'Anonymous':'(33) Browse|Read','ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_ReserveIds,25474,Method,,"{'ConfigureAdmin':'(61455) All'}"
PublishSubscribe_PubSubConfiguration_ReserveIds_InputArguments,25475,Variable,,"{'ConfigureAdmin':'(59391) All'}"
PublishSubscribe_PubSubConfiguration_ReserveIds_OutputArguments,25476,Variable,,"{'ConfigureAdmin':'(59391) All'}"
