IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA109,705742361,Bd,baud
0112/2///62720#UAA110,705742384,Bft,Beaufort
0112/2///62720#UAA111,705742385,Bq,becquerel
0112/2///62720#UAA112,705742386,Bq/kg,becquerel per kilogram
0112/2///62720#UAA113,705742387,Btu,British thermal unit (mean)
0112/2///62720#UAA114,705742388,BtuIT,British thermal unit (international table)
0112/2///62720#UAA115,705742389,BtuIT·ft/(h·ft²·°F),British thermal unit (international table) foot per hour square foot degree Fahrenheit
0112/2///62720#UAA116,705742390,BtuIT/h,British thermal unit (international table) per hour
0112/2///62720#UAA117,705742391,BtuIT·in/(h·ft²·°F),British thermal unit (international table) inch per hour square foot degree Fahrenheit
0112/2///62720#UAA118,705742392,BtuIT·in/(s·ft²·°F),British thermal unit (international table) inch per second square foot degree Fahrenheit
0112/2///62720#UAA119,705742393,BtuIT/(lb·°F),British thermal unit (international table) per pound degree Fahrenheit
0112/2///62720#UAA120,705742416,BtuIT/min,British thermal unit (international table) per minute
0112/2///62720#UAA121,705742417,BtuIT/s,British thermal unit (international table) per second
0112/2///62720#UAA122,705742418,Btuth,British thermal unit (thermochemical)
0112/2///62720#UAA123,705742419,Btuth·ft/(h·ft²·°F),British thermal unit (thermochemical) foot per hour foot squared degree Fahrenheit
0112/2///62720#UAA124,705742420,Btuth/h,British thermal unit (thermochemical) per hour
0112/2///62720#UAA125,705742421,Btuth·in/(h·ft²·°F),British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit
0112/2///62720#UAA126,705742422,Btuth·in/(s·ft²·°F),British thermal unit (thermochemical) inch per second square foot degree Fahrenheit
0112/2///62720#UAA127,705742423,Btuth//(lb·°F),British thermal unit (thermochemical) per pound degree Fahrenheit
0112/2///62720#UAA128,705742424,Btuth/min,British thermal unit (thermochemical) per minute
0112/2///62720#UAA129,705742425,Btuth/s,British thermal unit (thermochemical) per second
0112/2///62720#UAA130,705742448,C,coulomb
0112/2///62720#UAA131,705742449,C/kg,coulomb per kilogram
0112/2///62720#UAA132,705742450,C/(kg·s),coulomb per kilogram second
0112/2///62720#UAA133,705742451,C·m,coulomb metre
0112/2///62720#UAA134,705742452,C/m²,coulomb per square metre
