ID	Browsename	Node Class
1165	EnumDictionaryEntries	Variable
1166	EnumValues	Variable
1167	ValueAsDictionaryEntries	Variable
1168	ValueAsText	Variable
1169	EnumDictionaryEntries	Variable
1170	EnumValues	Variable
1171	ValueAsDictionaryEntries	Variable
1172	ValueAsText	Variable
1173	EnumDictionaryEntries	Variable
1174	EnumValues	Variable
1175	ValueAsDictionaryEntries	Variable
1176	ValueAsText	Variable
1177	EnumDictionaryEntries	Variable
1178	EnumValues	Variable
1179	ValueAsDictionaryEntries	Variable
1180	ValueAsText	Variable
1181	EnumDictionaryEntries	Variable
1182	EnumValues	Variable
1183	ValueAsDictionaryEntries	Variable
1184	ValueAsText	Variable
1185	FalseState	Variable
1186	TrueState	Variable
1187	EnumDictionaryEntries	Variable
1188	EnumValues	Variable
1189	ValueAsText	Variable
1190	EngineeringUnits	Variable
1191	EURange	Variable
1192	ActuatorType	Variable
1193	EngineeringUnits	Variable
1194	EURange	Variable
1195	OperatingDirection	Variable
1196	Setpoint	Variable
1197	EnumDictionaryEntries	Variable
1198	EnumValues	Variable
1199	ValueAsDictionaryEntries	Variable
1200	ValueAsText	Variable
1201	EnumDictionaryEntries	Variable
1202	EnumValues	Variable
1203	ValueAsDictionaryEntries	Variable
1204	ValueAsText	Variable
1205	EngineeringUnits	Variable
1206	EngineeringUnits	Variable
1207	EngineeringUnits	Variable
1208	DeviceRevision	Variable
1209	DefaultInstanceBrowseName	Variable
1210	SensorClass	Variable
1211	EnumDictionaryEntries	Variable
1212	EnumValues	Variable
1213	ValueAsDictionaryEntries	Variable
1214	ValueAsText	Variable
1215	TwoStateDiscreteControlVariableType	VariableType
1216	Setpoint	Variable
1217	OperatingDirection	Variable
1218	FaultState	Variable
1219	MultiStateDiscreteControlVariableType	VariableType
1220	Setpoint	Variable
1221	OperatingDirection	Variable
1222	FaultState	Variable
1223	TwoStateDiscreteControlSignalType	ObjectType
1224	ControlSignal	Variable
1225	EngineeringUnits	Variable
1226	EURange	Variable
1227	RamanSignalType	ObjectType
1228	OperatingDirection	Variable
1229	IInfraredSignalConditionSetType	ObjectType
1230	InfraredSignalType	ObjectType
1231	ICatalyticBeadSignalConditionSetType	ObjectType
1232	CatalyticBeadSignalType	ObjectType
1234	EnumDictionaryEntries	Variable
1235	EnumValues	Variable
1236	ValueAsDictionaryEntries	Variable
1237	ValueAsText	Variable
1239	MultiStateDiscreteControlSignalType	ObjectType
1240	ControlSignal	Variable
1241	FalseState	Variable
1242	TrueState	Variable
1243	Setpoint	Variable
1244	FalseState	Variable
1245	TrueState	Variable
1246	Setpoint	Variable
1247	EnumDictionaryEntries	Variable
1248	EnumValues	Variable
1249	ValueAsText	Variable
1250	EnumDictionaryEntries	Variable
1251	EnumValues	Variable
1252	ValueAsDictionaryEntries	Variable
1253	ValueAsText	Variable
1254	EnumDictionaryEntries	Variable
1255	EnumValues	Variable
1256	ValueAsDictionaryEntries	Variable
1257	ValueAsText	Variable
1258	FalseState	Variable
1259	TrueState	Variable
1260	FalseState	Variable
1261	TrueState	Variable
1262	EnumDictionaryEntries	Variable
1263	EnumValues	Variable
1264	ValueAsDictionaryEntries	Variable
1265	ValueAsText	Variable
1266	EnumDictionaryEntries	Variable
1267	EnumValues	Variable
1268	ValueAsDictionaryEntries	Variable
1269	ValueAsText	Variable
1270	EnumDictionaryEntries	Variable
1271	EnumValues	Variable
1272	ValueAsDictionaryEntries	Variable
1273	ValueAsText	Variable
1274	PatMeasurementVariableType	VariableType
1275	ChemicalSubstanceDataType	DataType
1276	PatDictionaryEnum	DataType
1277	Default Binary	Object
1278	Default XML	Object
1279	GeneralDeviceConditions	Object
