Id,Name,Link,ConformanceUnits
1003,ITighteningToolParametersType,"https://reference.opcfoundation.org/IJT/Tightening/v200/docs/5.1","IJT_TIGHTENING Asset Management Tightening Tool Parameters;"
5004,http://opcfoundation.org/UA/IJT/Tightening/,"https://reference.opcfoundation.org/IJT/Tightening/v200/docs/7.1",""
