Id,Name,Link,ConformanceUnits
1035,PtAssetDriveType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.5.1/#7.5.1.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1036,PtAssetDriveIntegratedGearMotorLinearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.9/#7.3.9.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1039,PtAssetEncoderRotaryType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.11/#7.3.11.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1040,PtAssetMotorManagementDeviceType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.6.5/#7.6.5.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1042,PtAssetEncoderLinearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.12/#7.3.12.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1045,PtAssetEncoderInterfaceModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.1/#7.4.1.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
4004,HasPtAttributes,"https://reference.opcfoundation.org/PowerTrain/v100/docs/8.2",""
5019,http://opcfoundation.org/UA/Powertrain/,"https://reference.opcfoundation.org/PowerTrain/v100/docs/10.1",""
15083,PtAssetMotorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.1/#7.3.1.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15108,PtAssetEncoderType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.10/#7.3.10.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15116,PtAssetBrakeType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.13/#7.3.13.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15122,PtAssetGearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.14/#7.3.14.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15130,PtAssetTemperatureSensorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.15/#7.3.15.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15136,PtAssetVibrationSensorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.16/#7.3.16.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15148,PtAssetElectricalBrakingModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.3/#7.4.3.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15168,PtAssetInputConverterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.5/#7.4.5.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15182,PtAssetOutputConverterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.6/#7.4.6.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15196,PtAssetInputFilterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.8/#7.4.8.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15241,PtAssetInputReactorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.9/#7.4.9.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15303,PtAssetOutputFilterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.10/#7.4.10.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15368,PtAssetOutputReactorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.11/#7.4.11.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15430,PtAssetCommunicationModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.12/#7.4.12.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15447,PtAssetControlModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.13/#7.4.13.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15468,PtAssetIoModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.14/#7.4.14.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15527,PtAssetSafetyModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.15/#7.4.15.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15541,PtAssetCoolingType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.16/#7.4.16.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15549,PtAssetContactorType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.6.1/#7.6.1.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15561,PtAssetMotorStarterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.6.3/#7.6.3.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
15898,IPtTagNameplateType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.2.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;"
15912,PtAssetType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.1.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
16337,PtAssetAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.7","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
16383,PtMotorAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.1/#7.8.1.1","Powertrain Attributes Information;"
16399,PtMotorRatedAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.4/#7.8.4.1","Powertrain Attributes Information;"
16499,PtMotorDutyAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.7/#7.8.7.1","Powertrain Attributes Information;"
16503,PtGearAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.8/#7.8.8.1","Powertrain Attributes Information;"
16553,PtEncoderAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.9/#7.8.9.1","Powertrain Attributes Information;"
16605,PtEncoderInterfaceProtocolAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.13/#7.8.13.1","Powertrain Attributes Information;"
16609,PtBrakeAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.14/#7.8.14.1","Powertrain Attributes Information;"
16708,PtTemperatureSensorAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.15/#7.8.15.1","Powertrain Attributes Information;"
16747,PtVibrationSensorAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.16/#7.8.16.1","Powertrain Attributes Information;"
16798,PtDcBusAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.2/#7.9.2.1","Powertrain Attributes Information;"
16806,PtInputConverterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.4/#7.9.4.1","Powertrain Attributes Information;"
16818,PtOutputConverterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.6/#7.9.6.1","Powertrain Attributes Information;"
