WellKnownRole_AuthorizationServiceAdmin_AddEndpoint_InputArguments,1753,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_AddIdentity,1744,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_AuthorizationServiceAdmin_AddIdentity_InputArguments,1745,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_Applications,1740,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_ApplicationsExclude,1739,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_Endpoints,1742,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_EndpointsExclude,1741,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_Identities,1738,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveApplication,1750,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveApplication_InputArguments,1751,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveEndpoint,1754,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveEndpoint_InputArguments,1755,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveIdentity,1746,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_AuthorizationServiceAdmin_RemoveIdentity_InputArguments,1747,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddApplication,1691,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddApplication_InputArguments,1692,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddEndpoint,1695,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddEndpoint_InputArguments,1696,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddIdentity,1687,Method,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(61455) All'}"
WellKnownRole_CertificateAuthorityAdmin_AddIdentity_InputArguments,1688,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_CertificateAuthorityAdmin_Applications,1683,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
WellKnownRole_CertificateAuthorityAdmin_ApplicationsExclude,1682,Variable,"[SigningRequired,EncryptionRequired]","{'SecurityAdmin':'(59391) All'}"
